date,store_id,product_id,warehouse_id,supplier_id,units_sold,inventory_level,units_ordered,units_received,delivery_delay_days,stockout_flag,revenue,unit_price_txn,discount_pct,holiday_promo_flag,weather,season,product_name,category,supplier_id_prod,unit_cost,unit_price,reorder_point,store_name,store_city,warehouse_id_store,store_type,supplier_name,supplier_city,supplier_avg_lead_time_days,supplier_reliability_score,warehouse_name,warehouse_city,capacity_units
2023-10-04,S001,TOY-P0001,W01,SUP02,87,162,118,111,0,0,5287.51,75.97,20,0,Rainy,Winter,Building Blocks Set,Toys,SUP02,328.89,473.46,81,Pune Central Store,Pune,W01,Tier-1,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S001,FUR-P0002,W01,SUP02,91,448,70,69,2,0,5813.08,79.85,20,1,Rainy,Winter,Office Chair,Furniture,SUP02,64.56,103.06,60,Pune Central Store,Pune,W01,Tier-1,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S001,ELE-P0003,W01,SUP04,27,158,80,77,6,0,1368.09,56.3,10,0,Cloudy,Winter,USB-C Charger,Electronics,SUP04,156.38,206.19,67,Pune Central Store,Pune,W01,Tier-1,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S001,ELE-P0004,W01,SUP04,133,142,122,108,3,0,7939.57,74.62,20,1,Cloudy,Winter,LED Desk Lamp,Electronics,SUP04,125.1,193.29,61,Pune Central Store,Pune,W01,Tier-1,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S001,CLO-P0005,W01,SUP06,30,143,187,167,6,0,619.92,22.96,10,0,Snowy,Summer,Hoodie,Clothing,SUP06,337.97,529.28,72,Pune Central Store,Pune,W01,Tier-1,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S001,FUR-P0006,W01,SUP08,126,176,168,165,5,0,2799.78,23.39,5,0,Rainy,Autumn,TV Stand,Furniture,SUP08,385.5,612.71,41,Pune Central Store,Pune,W01,Tier-1,Summit Supply Chain,Ahmedabad,8,78,North Distribution Center,Delhi,60000
2023-10-04,S001,ELE-P0007,W01,SUP04,152,248,106,90,3,0,1656.34,12.82,15,0,Sunny,Summer,HDMI Cable,Electronics,SUP04,324.36,550.95,67,Pune Central Store,Pune,W01,Tier-1,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S001,FUR-P0008,W01,SUP02,249,260,151,147,7,0,13598.39,60.68,10,0,Rainy,Summer,Coat Rack,Furniture,SUP02,378.24,621.46,64,Pune Central Store,Pune,W01,Tier-1,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S001,CLO-P0009,W01,SUP06,75,172,135,131,5,0,6950.25,92.67,0,0,Snowy,Autumn,Casual Shorts,Clothing,SUP06,118.12,186.63,78,Pune Central Store,Pune,W01,Tier-1,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S001,FUR-P0010,W01,SUP02,251,251,133,122,6,0,17952.9,75.29,5,1,Cloudy,Summer,Bean Bag,Furniture,SUP02,203.62,267.35,66,Pune Central Store,Pune,W01,Tier-1,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S001,TOY-P0011,W01,SUP06,13,56,108,97,0,0,419.9,32.3,0,0,Snowy,Autumn,Toy Kitchen Set,Toys,SUP06,111.12,148.02,42,Pune Central Store,Pune,W01,Tier-1,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S001,TOY-P0012,W01,SUP02,238,432,137,122,7,0,5374.4,23.77,5,0,Snowy,Summer,Bicycle Kids,Toys,SUP02,288.25,442.8,69,Pune Central Store,Pune,W01,Tier-1,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S001,FUR-P0013,W01,SUP08,176,227,105,93,3,0,11567.07,77.32,15,0,Snowy,Autumn,Ottoman Stool,Furniture,SUP08,280.8,487.52,54,Pune Central Store,Pune,W01,Tier-1,Summit Supply Chain,Ahmedabad,8,78,North Distribution Center,Delhi,60000
2023-10-04,S001,ELE-P0014,W01,SUP04,74,314,66,61,4,0,6981.49,99.31,5,1,Cloudy,Summer,Portable Fan,Electronics,SUP04,368.0,632.9,88,Pune Central Store,Pune,W01,Tier-1,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S001,CLO-P0015,W01,SUP05,257,362,31,29,5,0,21401.55,97.97,15,0,Snowy,Summer,Night Suit,Clothing,SUP05,159.33,286.69,75,Pune Central Store,Pune,W01,Tier-1,Bluewave Supplies,Delhi,5,88,North Distribution Center,Delhi,60000
2023-10-04,S001,ELE-P0016,W01,SUP04,7,286,30,28,3,0,383.97,57.74,5,0,Sunny,Summer,Extension Board,Electronics,SUP04,207.28,303.32,75,Pune Central Store,Pune,W01,Tier-1,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S001,GRO-P0017,W01,SUP01,218,292,134,134,1,0,7355.32,33.74,0,0,Snowy,Autumn,Jaggery 500g,Groceries,SUP01,87.06,120.51,71,Pune Central Store,Pune,W01,Tier-1,Sunrise Distributors,Pune,4,92,North Distribution Center,Delhi,60000
2023-10-04,S001,CLO-P0018,W01,SUP06,148,222,38,37,4,0,11255.03,80.05,5,0,Rainy,Spring,Cargo Pants,Clothing,SUP06,325.42,552.86,40,Pune Central Store,Pune,W01,Tier-1,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S001,FUR-P0019,W01,SUP08,257,286,151,142,7,0,7956.72,34.4,10,1,Rainy,Summer,Console Table,Furniture,SUP08,65.72,102.59,48,Pune Central Store,Pune,W01,Tier-1,Summit Supply Chain,Ahmedabad,8,78,North Distribution Center,Delhi,60000
2023-10-04,S001,ELE-P0020,W01,SUP04,65,139,172,172,7,0,4818.35,87.21,15,0,Snowy,Autumn,Car Charger,Electronics,SUP04,201.23,337.34,75,Pune Central Store,Pune,W01,Tier-1,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S002,CLO-P0001,W01,SUP03,337,454,140,124,1,0,19799.42,73.44,20,0,Cloudy,Autumn,Cotton T-Shirt,Clothing,SUP03,203.61,369.58,78,Mumbai Andheri Store,Mumbai,W01,Metro,Prime Vendors Ltd,Bengaluru,3,96,North Distribution Center,Delhi,60000
2023-10-04,S002,FUR-P0002,W01,SUP02,123,282,140,122,2,0,1864.68,18.95,20,1,Sunny,Winter,Office Chair,Furniture,SUP02,64.56,103.06,60,Mumbai Andheri Store,Mumbai,W01,Metro,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S002,CLO-P0003,W01,SUP06,98,121,89,84,3,0,2582.3,31.0,15,1,Rainy,Spring,Formal Shirt,Clothing,SUP06,325.12,447.65,78,Mumbai Andheri Store,Mumbai,W01,Metro,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S002,ELE-P0004,W01,SUP04,33,83,200,171,0,0,1806.14,64.39,15,1,Cloudy,Spring,LED Desk Lamp,Electronics,SUP04,125.1,193.29,61,Mumbai Andheri Store,Mumbai,W01,Metro,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S002,FUR-P0005,W01,SUP02,177,190,118,101,1,0,14397.18,81.34,0,1,Cloudy,Summer,Folding Chair,Furniture,SUP02,171.4,283.59,69,Mumbai Andheri Store,Mumbai,W01,Metro,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S002,TOY-P0006,W01,SUP06,67,129,38,35,3,0,3092.79,51.29,10,1,Cloudy,Autumn,Board Game,Toys,SUP06,335.8,457.75,77,Mumbai Andheri Store,Mumbai,W01,Metro,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S002,FUR-P0007,W01,SUP08,249,440,112,103,4,0,5022.33,20.17,0,0,Sunny,Autumn,Shoe Rack,Furniture,SUP08,78.96,125.7,79,Mumbai Andheri Store,Mumbai,W01,Metro,Summit Supply Chain,Ahmedabad,8,78,North Distribution Center,Delhi,60000
2023-10-04,S002,GRO-P0008,W01,SUP01,17,98,75,74,5,0,876.52,64.45,20,1,Sunny,Autumn,Brown Bread,Groceries,SUP01,225.26,312.29,88,Mumbai Andheri Store,Mumbai,W01,Metro,Sunrise Distributors,Pune,4,92,North Distribution Center,Delhi,60000
2023-10-04,S002,ELE-P0009,W01,SUP04,346,380,129,122,4,0,10272.05,37.11,20,0,Cloudy,Spring,USB Hub,Electronics,SUP04,81.52,141.31,41,Mumbai Andheri Store,Mumbai,W01,Metro,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S002,CLO-P0010,W01,SUP05,61,266,52,48,6,0,3661.46,75.03,20,0,Snowy,Spring,Kurta Set,Clothing,SUP05,104.0,177.82,42,Mumbai Andheri Store,Mumbai,W01,Metro,Bluewave Supplies,Delhi,5,88,North Distribution Center,Delhi,60000
2023-10-04,S002,GRO-P0011,W01,SUP05,324,418,30,28,3,0,5700.78,19.55,10,0,Rainy,Spring,Cornflakes 500g,Groceries,SUP05,253.39,359.78,74,Mumbai Andheri Store,Mumbai,W01,Metro,Bluewave Supplies,Delhi,5,88,North Distribution Center,Delhi,60000
2023-10-04,S002,CLO-P0012,W01,SUP06,5,145,71,63,7,0,176.72,39.27,10,1,Snowy,Spring,Woolen Sweater,Clothing,SUP06,214.34,303.01,58,Mumbai Andheri Store,Mumbai,W01,Metro,Nationwide Traders,Hyderabad,12,65,North Distribution Center,Delhi,60000
2023-10-04,S002,FUR-P0013,W01,SUP08,60,346,142,121,0,0,4185.6,69.76,0,1,Sunny,Winter,Ottoman Stool,Furniture,SUP08,280.8,487.52,54,Mumbai Andheri Store,Mumbai,W01,Metro,Summit Supply Chain,Ahmedabad,8,78,North Distribution Center,Delhi,60000
2023-10-04,S002,ELE-P0014,W01,SUP04,117,461,149,131,5,0,6331.1,67.64,20,1,Rainy,Winter,Portable Fan,Electronics,SUP04,368.0,632.9,88,Mumbai Andheri Store,Mumbai,W01,Metro,Apex Trading Corp,Chennai,9,73,North Distribution Center,Delhi,60000
2023-10-04,S002,FUR-P0015,W01,SUP02,353,468,83,79,7,0,26492.65,75.05,0,1,Cloudy,Spring,Wardrobe 2-Door,Furniture,SUP02,63.09,103.02,51,Mumbai Andheri Store,Mumbai,W01,Metro,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S002,CLO-P0016,W01,SUP05,25,68,185,163,6,1,1992.82,93.78,15,0,Snowy,Spring,Ethnic Saree,Clothing,SUP05,185.62,273.42,80,Mumbai Andheri Store,Mumbai,W01,Metro,Bluewave Supplies,Delhi,5,88,North Distribution Center,Delhi,60000
2023-10-04,S002,CLO-P0017,W01,SUP03,7,185,138,125,3,0,194.39,32.67,15,1,Rainy,Spring,Denim Jacket,Clothing,SUP03,98.91,140.45,74,Mumbai Andheri Store,Mumbai,W01,Metro,Prime Vendors Ltd,Bengaluru,3,96,North Distribution Center,Delhi,60000
2023-10-04,S002,FUR-P0018,W01,SUP02,26,214,199,169,6,0,1670.66,80.32,20,1,Snowy,Spring,Recliner Chair,Furniture,SUP02,139.59,259.86,65,Mumbai Andheri Store,Mumbai,W01,Metro,Metro Wholesale Co.,Mumbai,7,81,North Distribution Center,Delhi,60000
2023-10-04,S002,GRO-P0019,W01,SUP01,183,370,156,152,6,0,12986.6,74.7,5,1,Snowy,Spring,Milk Powder 500g,Groceries,SUP01,331.53,523.96,86,Mumbai Andheri Store,Mumbai,W01,Metro,Sunrise Distributors,Pune,4,92,North Distribution Center,Delhi,60000
