product_id,product_name,category,supplier_id,unit_cost,unit_price,reorder_point,brand,safety_stock,lead_time_days,profit_margin_pct
CLO-P0001,Cotton T-Shirt,Clothing,SUP03,203.61,369.58,78,UrbanThread,35,8,44.91
CLO-P0002,Denim Jeans,Clothing,SUP03,82.96,156.41,74,CottonCraft,42,18,46.96
CLO-P0003,Formal Shirt,Clothing,SUP06,325.12,447.65,78,StyleNest,46,23,27.37
CLO-P0004,Summer Dress,Clothing,SUP06,179.78,333.68,62,Denimo,22,5,46.12
CLO-P0005,Hoodie,Clothing,SUP06,337.97,529.28,72,WeaveWorks,22,25,36.15
CLO-P0006,Track Pants,Clothing,SUP05,244.1,326.68,51,UrbanThread,17,8,25.28
CLO-P0007,Winter Jacket,Clothing,SUP06,271.08,475.71,81,StyleNest,25,15,43.02
CLO-P0008,Kids T-Shirt,Clothing,SUP06,389.74,715.51,57,UrbanThread,20,14,45.53
CLO-P0009,Casual Shorts,Clothing,SUP06,118.12,186.63,78,UrbanThread,36,25,36.71
CLO-P0010,Kurta Set,Clothing,SUP05,104.0,177.82,42,StyleNest,24,10,41.51
CLO-P0011,Sports Jersey,Clothing,SUP06,388.63,581.19,77,UrbanThread,35,9,33.13
CLO-P0012,Woolen Sweater,Clothing,SUP06,214.34,303.01,58,WeaveWorks,28,12,29.26
CLO-P0013,Rain Jacket,Clothing,SUP05,216.5,310.93,46,Denimo,16,12,30.37
CLO-P0014,Formal Trousers,Clothing,SUP05,203.0,365.32,73,UrbanThread,39,7,44.43
CLO-P0015,Night Suit,Clothing,SUP05,159.33,286.69,75,UrbanThread,36,7,44.42
CLO-P0016,Ethnic Saree,Clothing,SUP05,185.62,273.42,80,UrbanThread,44,9,32.11
CLO-P0017,Denim Jacket,Clothing,SUP03,98.91,140.45,74,UrbanThread,43,15,29.58
CLO-P0018,Cargo Pants,Clothing,SUP06,325.42,552.86,40,UrbanThread,16,12,41.14
CLO-P0019,Polo T-Shirt,Clothing,SUP05,323.26,509.25,75,UrbanThread,24,13,36.52
CLO-P0020,Maxi Dress,Clothing,SUP05,98.93,135.41,68,UrbanThread,25,22,26.94
ELE-P0001,Wireless Mouse,Electronics,SUP04,214.88,352.22,73,Voltex,31,9,38.99
ELE-P0002,Bluetooth Speaker,Electronics,SUP04,272.15,444.19,78,Voltex,45,27,38.73
ELE-P0003,USB-C Charger,Electronics,SUP04,156.38,206.19,67,Voltex,27,23,24.16
ELE-P0004,LED Desk Lamp,Electronics,SUP04,125.1,193.29,61,Voltex,32,7,35.28
ELE-P0005,Power Bank 10000mAh,Electronics,SUP07,131.88,176.06,82,Voltex,37,11,25.09
ELE-P0006,Wireless Earbuds,Electronics,SUP07,152.76,259.26,54,Nexcore,19,7,41.08
ELE-P0007,HDMI Cable,Electronics,SUP04,324.36,550.95,67,Voltex,26,10,41.13
