store_name,product_name,category,inventory_level,reorder_point,gap_to_reorder_point,urgency,recommendation
Chennai T Nagar Store,Brown Bread,Groceries,0.0,88,88.0,🟡 Medium — Reorder Now,Reorder immediately
Delhi Connaught Place Store,Scented Candle Pack Plus,Home Decor,0.0,85,85.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Hair Dryer,Beauty,9.0,75,66.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Mirror Frame Classic,Home Decor,0.0,65,65.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Building Blocks Mini,Toys,4.0,65,61.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Shampoo 500ml Classic,Beauty,0.0,61,61.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Kurta Set Classic,Clothing,0.0,60,60.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Kurta Set Classic,Clothing,0.0,60,60.0,🟡 Medium — Reorder Now,Reorder immediately
Surat Ring Road Store,Bicycle Kids,Toys,12.0,69,57.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Sugar 1kg Classic,Groceries,26.0,83,57.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Sunscreen Lotion Classic,Beauty,13.0,70,57.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Shampoo 500ml,Beauty,24.0,81,57.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
